EVENTTYPE;REGISTERDATE;STOPID;ODOMETER;LATITUDE;LONGITUDE;TASKID;LINEID;TRIPID;DATAGRAMID;DATAGRAMDATE;BUSID
0;2-nov-18;502450;295;34720750;-765211117;383;421;787;5796023352;01-NOV-18 02.35.27.000000 PM;1
0;2-nov-18;501002;4;34423367;-765325017;383;421;787;5796051724;01-NOV-18 02.51.48.000000 PM;1
0;2-nov-18;500850;1159;34422383;-765327833;383;421;787;5796051889;01-NOV-18 02.51.53.000000 PM;1
0;2-nov-18;500850;1139;34421833;-765328467;383;421;787;5796052733;01-NOV-18 02.52.22.000000 PM;1
0;2-nov-18;501002;33;34421217;-765330533;383;421;787;5796053228;01-NOV-18 02.52.40.000000 PM;1
0;2-nov-18;501002;38;34420167;-765332800;383;421;787;5796053341;01-NOV-18 02.52.44.000000 PM;1
0;2-nov-18;501002;23;34418850;-765334783;383;421;787;5796053466;01-NOV-18 02.52.48.000000 PM;1
0;2-nov-18;501002;357;34404150;-765365967;383;421;787;5796054335;01-NOV-18 02.53.17.000000 PM;1
0;2-nov-18;501002;741;34377483;-765385667;383;421;787;5796055165;01-NOV-18 02.53.46.000000 PM;1
0;2-nov-18;501002;1049;34354300;-765406333;383;421;787;5796056043;01-NOV-18 02.54.15.000000 PM;1
0;2-nov-18;501002;1262;34342633;-765415183;383;421;787;5796056950;01-NOV-18 02.54.46.000000 PM;1
0;2-nov-18;501002;1262;34342333;-765415467;383;421;787;5796057818;01-NOV-18 02.55.15.000000 PM;1
0;2-nov-18;501002;1415;34329417;-765424700;383;421;787;5796058365;01-NOV-18 02.55.34.000000 PM;1
0;2-nov-18;501702;4;34317150;-765432350;383;421;787;5796058795;01-NOV-18 02.55.48.000000 PM;1
0;2-nov-18;501002;1702;34314917;-765434250;383;421;787;5796059262;01-NOV-18 02.56.04.000000 PM;1
0;2-nov-18;501002;1702;34315000;-765434317;383;421;787;5796060131;01-NOV-18 02.56.33.000000 PM;1
0;2-nov-18;501702;15;34313783;-765435083;383;421;787;5796060722;01-NOV-18 02.56.54.000000 PM;1
0;2-nov-18;501002;1727;34313000;-765435500;383;421;787;5796061002;01-NOV-18 02.57.04.000000 PM;1
0;2-nov-18;501702;27;34312850;-765435483;383;421;787;5796061197;01-NOV-18 02.57.10.000000 PM;1
0;2-nov-18;501702;31;34312717;-765435500;383;421;787;5796061361;01-NOV-18 02.57.15.000000 PM;1
0;2-nov-18;501702;281;34287567;-765448867;383;421;787;5796062269;01-NOV-18 02.57.45.000000 PM;1
0;2-nov-18;501702;683;34257250;-765462350;383;421;787;5796063208;01-NOV-18 02.58.17.000000 PM;1
0;2-nov-18;501750;4;34237633;-765469433;383;421;787;5796063814;01-NOV-18 02.58.37.000000 PM;1
0;2-nov-18;501702;967;34235200;-765470133;383;421;787;5796064059;01-NOV-18 02.58.45.000000 PM;1
0;2-nov-18;501702;964;34235700;-765469917;383;421;787;5796064895;01-NOV-18 02.59.13.000000 PM;1
0;2-nov-18;501702;971;34235233;-765470167;383;421;787;5796065760;01-NOV-18 02.59.42.000000 PM;1
0;2-nov-18;501750;31;34234267;-765470533;383;421;787;5796065846;01-NOV-18 02.59.45.000000 PM;1
0;2-nov-18;501750;156;34222367;-765474833;383;421;787;5796066745;01-NOV-18 03.00.15.000000 PM;1
0;2-nov-18;501750;460;34192550;-765484050;383;421;787;5796067654;01-NOV-18 03.00.47.000000 PM;1
0;2-nov-18;501750;707;34173733;-765483317;383;421;787;5796068053;01-NOV-18 03.01.00.000000 PM;1
0;2-nov-18;501750;860;34159700;-765483833;383;421;787;5796068889;01-NOV-18 03.01.29.000000 PM;1
0;2-nov-18;501750;910;34155633;-765484067;383;421;787;5796069763;01-NOV-18 03.01.58.000000 PM;1
0;2-nov-18;501852;4;34151600;-765484233;383;421;787;5796069886;01-NOV-18 03.02.02.000000 PM;1
0;2-nov-18;501750;982;34148583;-765484367;383;421;787;5796070612;01-NOV-18 03.02.27.000000 PM;1
0;2-nov-18;501750;982;34148533;-765484333;383;421;787;5796071429;01-NOV-18 03.02.56.000000 PM;1
0;2-nov-18;501852;32;34146900;-765484450;383;421;787;5796071914;01-NOV-18 03.03.13.000000 PM;1
0;2-nov-18;501852;285;34124517;-765479500;383;421;787;5796072786;01-NOV-18 03.03.42.000000 PM;1
0;2-nov-18;501852;551;34097950;-765475400;383;421;787;5796073698;01-NOV-18 03.04.11.000000 PM;1
0;2-nov-18;501852;669;34089733;-765474167;383;421;787;5796074576;01-NOV-18 03.04.40.000000 PM;1
0;2-nov-18;501852;999;34058850;-765471617;383;421;787;5796075425;01-NOV-18 03.05.09.000000 PM;1
0;2-nov-18;501852;1169;34043117;-765469800;383;421;787;5796076298;01-NOV-18 03.05.39.000000 PM;1
0;2-nov-18;501852;1190;34041117;-765469150;383;421;787;5796077165;01-NOV-18 03.06.08.000000 PM;1
0;2-nov-18;501950;-1;34038033;-765468683;383;421;787;5796077321;01-NOV-18 03.06.13.000000 PM;1
0;2-nov-18;501852;1271;34035850;-765468567;383;421;787;5796078043;01-NOV-18 03.06.38.000000 PM;1
0;2-nov-18;501950;33;34033800;-765468333;383;421;787;5796078709;01-NOV-18 03.07.01.000000 PM;1
0;2-nov-18;501950;360;34005550;-765465417;383;421;787;5796079571;01-NOV-18 03.07.30.000000 PM;1
